material_id,formula,composition,symmetry,a,b,c,alpha,beta,gamma,num_atoms,crystal_system
mp-16964,SiO2,Si12 O24,Cmc2_1,5.0387274,11.160605686593662,11.160605750506,102.85897923226668,90.0,90.0,36,orthorhombic
mp-17279,SiO2,Si16 O32,C2/m,7.659660899874957,11.547047060735888,11.547047199582908,71.71822606420086,80.61689653362812,80.61689557184505,48,monoclinic
mp-17909,SiO2,Si12 O24,R-3m,9.278056677368427,9.27805687273566,9.278056242377993,94.2349257397064,94.23492573704313,94.23491530819274,36,trigonal
mp-18280,SiO2,Si12 O24,C2/m,7.4628094990725655,9.804906013392184,9.804905136449392,88.26901295996453,81.14990467974881,81.14991689310072,36,monoclinic
mp-2374583,SiO2,Si16 O32,P4/nbm,11.78101882,11.78101882,4.37120546,90.0,90.0,90.0,48,tetragonal
mp-32667,SiO2,Si6 O12,P2_1/c,4.127393,5.075276,6.956685714752751,78.26433983429098,90.0,90.0,18,monoclinic
mp-32895,SiO2,Si48 O96,Fd-3m,17.36890993944502,17.36890993944502,17.36890993944502,60.00000000000001,60.00000000000001,60.00000000000001,144,cubic
mp-34150,SiO2,Si16 O32,C2/m,11.489367716325429,11.489367716325429,10.077450699007661,87.18326784555104,87.18326784555104,132.37966176017844,48,monoclinic
mp-530546,SiO2,Si54 O108,P6/m,17.1772303926142,17.1772303926142,12.881054,90.0,90.0,120.0000015121848,162,hexagonal
mp-532105,SiO2,Si54 O108,P6/mmm,17.294647551823424,17.294647551823424,12.896127,90.0,90.0,119.99999828553179,162,hexagonal
mp-542814,SiO2,Si24 O48,P2_12_12_1,4.90777286,8.25651647,26.43165357,90.0,90.0,90.0,72,orthorhombic
mp-545488,SiO2,Si4 O8,P2/c,4.684498,4.682655,8.328126700475023,66.73678212711339,90.0,90.0,12,monoclinic
mp-545719,SiO2,Si4 O8,I4_122,6.938681961360385,6.938681961360385,6.938681961360385,131.71635117689823,131.71635117689823,70.67738997404787,12,tetragonal
mp-546546,SiO2,Si3 O6,R32,5.284032962894109,5.283815678500441,5.28396580421931,97.59581198841644,97.59514524393057,97.59637142161644,9,trigonal
mp-546794,SiO2,Si2 O4,I-42d,5.062003306895349,5.063597597748786,5.063150532914478,87.5630709899536,121.40630993836493,121.40929448535273,6,tetragonal
mp-553881,SiO2,Si4 O8,Pc,4.251799,4.303705,8.261824055842027,59.54332184781916,90.0,90.0,12,monoclinic
mp-553945,SiO2,Si32 O64,Pmn2_1,5.151374,14.040054,25.843985,90.0,90.0,90.0,96,orthorhombic
mp-553993,SiO2,Si16 O32,I4_1/amd,9.929977424365996,9.93002474804738,12.556164893722249,113.26967763146585,113.26942520319362,90.01480712591011,48,tetragonal
mp-554089,SiO2,Si4 O8,Pna2_1,5.02315223,5.04070642,6.98076509,90.0,90.0,90.0,12,orthorhombic
mp-554151,SiO2,Si4 O8,I-4,5.003834068982469,6.663544799003997,6.663951771401507,81.89814892971192,67.94506859374225,67.94819580757697,12,tetragonal
mp-554175,SiO2,Si16 O32,I4/mcm,11.008326436792107,11.008326436792107,11.008326436792107,103.10988266204673,103.10988266204673,123.1177460825206,48,tetragonal
mp-554243,SiO2,Si6 O12,P6_522,7.30055069,7.300550346820756,7.00512373,90.0,90.0,120.00000160030066,18,hexagonal
mp-554258,SiO2,Si16 O32,I4/mcm,8.991419285103664,10.895608184941704,10.89560654469585,80.19749159393027,65.63067917395844,65.6306757836297,48,tetragonal
mp-554267,SiO2,Si16 O32,I4_1/amd,7.788454544253766,7.788453905190844,14.717125915876894,105.34829430556525,105.34829562204871,90.00212440961474,48,tetragonal
mp-554397,SiO2,Si8 O16,Pcca,4.719159,7.122919,9.774747,90.0,90.0,90.0,24,orthorhombic
mp-554498,SiO2,Si12 O24,P622,13.160408301231387,13.160408301231387,3.889016,90.0,90.0,120.00000151433812,36,hexagonal
mp-554543,SiO2,Si8 O16,I-4c2,8.333258820290784,8.333252734998213,8.333259739350964,105.23885443510825,105.23891716697479,118.31458474093664,24,tetragonal
mp-554573,SiO2,Si4 O8,Ama2,5.055060101855783,5.055059655935801,8.27706003,90.0,90.0,121.21385414211139,12,orthorhombic
mp-554665,SiO2,Si8 O16,P4_2/mcm,8.233705,8.233705,5.560957,90.0,90.0,90.0,24,tetragonal
mp-554682,SiO2,Si48 O96,I-4,15.94091095781938,15.94091095781938,15.94091095781938,100.50687374363416,100.50687374363416,129.44172138234399,144,tetragonal
